Date,Product,Category,Region,Sales,Quantity,Revenue,Customer_Rating,Shipping_Days
2024-01-05,Laptop,Electronics,North,1299.99,2,2599.98,4.5,3
2024-01-08,Desk Chair,Furniture,South,249.99,5,1249.95,4.2,5
2024-01-12,Smartphone,Electronics,East,899.99,3,2699.97,4.8,2
2024-01-15,Coffee Maker,Appliances,West,79.99,8,639.92,4.1,4
2024-01-18,Standing Desk,Furniture,North,599.99,2,1199.98,4.6,7
2024-01-22,Headphones,Electronics,South,199.99,10,1999.90,4.7,3
2024-01-25,Blender,Appliances,East,89.99,6,539.94,4.3,4
2024-01-28,Monitor,Electronics,West,349.99,4,1399.96,4.5,5
2024-02-02,Office Lamp,Furniture,North,45.99,12,551.88,4.0,6
2024-02-05,Tablet,Electronics,South,499.99,3,1499.97,4.6,3
2024-02-08,Bookshelf,Furniture,East,129.99,4,519.96,4.2,8
2024-02-12,Air Fryer,Appliances,West,119.99,7,839.93,4.4,4
2024-02-15,Keyboard,Electronics,North,89.99,15,1349.85,4.3,2
2024-02-18,Microwave,Appliances,South,149.99,5,749.95,4.1,5
2024-02-22,Desk Organizer,Furniture,East,29.99,20,599.80,3.9,3
2024-02-25,Smartwatch,Electronics,West,299.99,4,1199.96,4.7,3
2024-02-28,Filing Cabinet,Furniture,North,189.99,3,569.97,4.0,9
2024-03-03,Camera,Electronics,South,799.99,2,1599.98,4.8,4
2024-03-06,Toaster,Appliances,East,39.99,10,399.90,4.2,5
2024-03-10,Printer,Electronics,West,229.99,3,689.97,4.1,6
2024-03-13,Ergonomic Chair,Furniture,North,399.99,4,1599.96,4.6,7
2024-03-16,Wireless Mouse,Electronics,South,49.99,25,1249.75,4.5,2
2024-03-20,Desk Mat,Furniture,East,24.99,18,449.82,4.3,4
2024-03-23,Coffee Grinder,Appliances,West,69.99,6,419.94,4.4,3
2024-03-27,External SSD,Electronics,North,159.99,8,1279.92,4.7,3
2024-03-30,Dining Chair,Furniture,South,179.99,6,1079.94,4.2,10
2024-04-02,Bluetooth Speaker,Electronics,East,79.99,12,959.88,4.6,3
2024-04-05,Vacuum Cleaner,Appliances,West,199.99,4,799.96,4.3,6
2024-04-09,Laptop Stand,Furniture,North,49.99,10,499.90,4.1,4
2024-04-12,Webcam,Electronics,South,129.99,7,909.93,4.5,3
2024-04-16,Desk Drawer,Furniture,East,89.99,5,449.95,4.0,8
2024-04-19,Espresso Machine,Appliances,West,299.99,3,899.97,4.7,5
2024-04-23,USB Hub,Electronics,North,29.99,20,599.80,4.2,2
2024-04-26,Side Table,Furniture,South,79.99,8,639.92,4.1,7
2024-04-30,Gaming Mouse,Electronics,East,89.99,10,899.90,4.8,3
2024-05-03,Rice Cooker,Appliances,West,79.99,6,479.94,4.3,4
2024-05-07,Monitor Arm,Furniture,North,119.99,5,599.95,4.4,6
2024-05-10,Mechanical Keyboard,Electronics,South,149.99,8,1199.92,4.6,3
2024-05-14,Food Processor,Appliances,East,129.99,4,519.96,4.2,5
2024-05-17,Laptop Bag,Furniture,West,59.99,12,719.88,4.0,4
2024-05-21,Portable Charger,Electronics,North,39.99,15,599.85,4.5,2
2024-05-24,Office Chair Mat,Furniture,South,69.99,7,489.93,3.9,6
2024-05-28,Electric Kettle,Appliances,East,49.99,10,499.90,4.3,4
2024-05-31,HDMI Cable,Electronics,West,19.99,30,599.70,4.1,3
2024-06-04,Wall Shelf,Furniture,North,89.99,6,539.94,4.2,8
2024-06-07,Noise Cancelling Headphones,Electronics,South,349.99,5,1749.95,4.9,3
2024-06-11,Blender Bottle,Appliances,East,14.99,25,374.75,4.0,3
2024-06-14,Cable Management,Furniture,West,24.99,15,374.85,4.1,4
2024-06-18,Graphics Tablet,Electronics,North,199.99,3,599.97,4.6,5
2024-06-21,Slow Cooker,Appliances,South,89.99,5,449.95,4.4,6
2024-06-25,Ergonomic Mouse Pad,Furniture,East,29.99,12,359.88,4.2,3
2024-06-28,Portable Monitor,Electronics,West,249.99,4,999.96,4.7,4
2024-07-02,Stand Mixer,Appliances,North,279.99,2,559.98,4.5,7
2024-07-05,Corner Desk,Furniture,South,349.99,3,1049.97,4.3,10
2024-07-09,Wireless Earbuds,Electronics,East,129.99,12,1559.88,4.8,2
2024-07-12,Air Purifier,Appliances,West,179.99,4,719.96,4.4,5
2024-07-16,Footrest,Furniture,North,39.99,10,399.90,4.1,4
2024-07-19,USB Microphone,Electronics,South,99.99,6,599.94,4.6,3
2024-07-23,Waffle Maker,Appliances,East,49.99,8,399.92,4.2,4
2024-07-26,Plant Stand,Furniture,West,34.99,10,349.90,4.0,6
2024-07-30,Docking Station,Electronics,North,179.99,5,899.95,4.5,4
2024-08-02,Juicer,Appliances,South,119.99,4,479.96,4.3,5
2024-08-06,Storage Ottoman,Furniture,East,89.99,6,539.94,4.1,8
2024-08-09,Streaming Webcam,Electronics,West,149.99,4,599.96,4.7,3
2024-08-13,Sandwich Maker,Appliances,North,39.99,10,399.90,4.0,4
2024-08-16,Desk Shelf,Furniture,South,79.99,7,559.93,4.2,7
2024-08-20,LED Desk Lamp,Electronics,East,59.99,12,719.88,4.4,3
2024-08-23,Pressure Cooker,Appliances,West,139.99,3,419.97,4.6,6
2024-08-27,Monitor Riser,Furniture,North,49.99,10,499.90,4.1,5
2024-08-30,Gaming Headset,Electronics,South,119.99,8,959.92,4.8,3
